year,state,county_code,county_population
2018,OK,40001,22082
2018,OK,40003,5754
2018,OK,40005,13838
2018,OK,40007,5319
2018,OK,40009,21709
2018,OK,40011,9485
2018,OK,40013,47192
2018,OK,40015,28977
2018,OK,40017,144447
2018,OK,40019,48177
2018,OK,40021,48675
2018,OK,40023,14668
2018,OK,40025,2153
2018,OK,40027,281669
2018,OK,40029,5520
2018,OK,40031,120422
2018,OK,40033,5776
2018,OK,40035,14306
2018,OK,40037,71604
2018,OK,40039,29036
2018,OK,40041,42733
2018,OK,40043,4894
2018,OK,40045,3952
2018,OK,40047,60913
2018,OK,40049,27811
2018,OK,40051,55551
2018,OK,40053,4326
2018,OK,40055,5821
2018,OK,40057,2664
2018,OK,40059,3797
2018,OK,40061,12668
2018,OK,40063,13335
2018,OK,40065,24949
2018,OK,40067,6123
2018,OK,40069,10949
2018,OK,40071,44161
2018,OK,40073,15816
2018,OK,40075,8729
2018,OK,40077,10231
2018,OK,40079,49980
2018,OK,40081,34920
2018,OK,40083,47291
2018,OK,40085,10134
2018,OK,40087,39985
2018,OK,40089,32703
2018,OK,40091,19815
2018,OK,40093,7644
2018,OK,40095,16806
2018,OK,40097,41107
2018,OK,40099,13953
2018,OK,40101,68362
2018,OK,40103,11289
2018,OK,40105,10218
2018,OK,40107,12098
2018,OK,40109,792582
2018,OK,40111,38335
2018,OK,40113,47014
2018,OK,40115,31175
2018,OK,40117,16390
2018,OK,40119,82040
2018,OK,40121,43877
2018,OK,40123,38247
2018,OK,40125,72679
2018,OK,40127,11179
2018,OK,40129,3656
2018,OK,40131,91984
2018,OK,40133,24578
2018,OK,40135,41179
2018,OK,40137,43265
2018,OK,40139,20455
2018,OK,40141,7348
2018,OK,40143,648360
2018,OK,40145,80110
2018,OK,40147,51843
2018,OK,40149,11127
2018,OK,40151,8897
2018,OK,40153,20222
2019,OK,40001,22194
2019,OK,40003,5702
2019,OK,40005,13758
2019,OK,40007,5311
2019,OK,40009,21859
2019,OK,40011,9429
2019,OK,40013,47995
2019,OK,40015,28762
2019,OK,40017,148306
2019,OK,40019,48111
2019,OK,40021,48657
2019,OK,40023,14672
2019,OK,40025,2137
2019,OK,40027,284014
2019,OK,40029,5495
2019,OK,40031,120749
2019,OK,40033,5666
2019,OK,40035,14142
2019,OK,40037,71522
2019,OK,40039,29003
2019,OK,40041,43009
2019,OK,40043,4891
2019,OK,40045,3859
2019,OK,40047,61056
2019,OK,40049,27711
2019,OK,40051,55834
2019,OK,40053,4333
2019,OK,40055,5712
2019,OK,40057,2653
2019,OK,40059,3688
2019,OK,40061,12627
2019,OK,40063,13279
2019,OK,40065,24530
2019,OK,40067,6002
2019,OK,40069,11085
2019,OK,40071,43538
2019,OK,40073,15765
2019,OK,40075,8708
2019,OK,40077,10073
2019,OK,40079,49853
2019,OK,40081,34877
2019,OK,40083,48011
2019,OK,40085,10253
2019,OK,40087,40474
2019,OK,40089,32832
2019,OK,40091,19596
2019,OK,40093,7629
2019,OK,40095,16931
2019,OK,40097,41100
2019,OK,40099,14073
2019,OK,40101,67997
2019,OK,40103,11131
2019,OK,40105,10076
2019,OK,40107,11993
2019,OK,40109,797434
2019,OK,40111,38465
2019,OK,40113,46963
2019,OK,40115,31127
2019,OK,40117,16376
2019,OK,40119,81784
2019,OK,40121,43654
2019,OK,40123,38284
2019,OK,40125,72592
2019,OK,40127,11096
2019,OK,40129,3583
2019,OK,40131,92459
2019,OK,40133,24258
2019,OK,40135,41569
2019,OK,40137,43143
2019,OK,40139,19983
2019,OK,40141,7250
2019,OK,40143,651552
2019,OK,40145,81289
2019,OK,40147,51527
2019,OK,40149,10916
2019,OK,40151,8793
2019,OK,40153,20211
2020,OK,40001,21955
2020,OK,40003,5718
2020,OK,40005,13912
2020,OK,40007,5207
2020,OK,40009,21468
2020,OK,40011,9447
2020,OK,40013,48998
2020,OK,40015,28684
2020,OK,40017,153192
2020,OK,40019,48353
2020,OK,40021,49019
2020,OK,40023,14646
2020,OK,40025,2145
2020,OK,40027,287066
2020,OK,40029,5587
2020,OK,40031,121099
2020,OK,40033,5676
2020,OK,40035,14194
2020,OK,40037,71485
2020,OK,40039,28648
2020,OK,40041,43136
2020,OK,40043,4815
2020,OK,40045,3830
2020,OK,40047,60869
2020,OK,40049,27691
2020,OK,40051,55906
2020,OK,40053,4372
2020,OK,40055,5704
2020,OK,40057,2557
2020,OK,40059,3611
2020,OK,40061,12652
2020,OK,40063,13126
2020,OK,40065,24305
2020,OK,40067,5949
2020,OK,40069,10824
2020,OK,40071,43274
2020,OK,40073,15806
2020,OK,40075,8741
2020,OK,40077,10132
2020,OK,40079,49935
2020,OK,40081,35045
2020,OK,40083,48777
2020,OK,40085,10230
2020,OK,40087,41348
2020,OK,40089,32772
2020,OK,40091,19635
2020,OK,40093,7579
2020,OK,40095,17114
2020,OK,40097,41152
2020,OK,40099,13955
2020,OK,40101,67610
2020,OK,40103,11113
2020,OK,40105,10076
2020,OK,40107,11765
2020,OK,40109,804041
2020,OK,40111,38234
2020,OK,40113,46642
2020,OK,40115,30879
2020,OK,40117,16381
2020,OK,40119,81755
2020,OK,40121,43679
2020,OK,40123,38397
2020,OK,40125,72998
2020,OK,40127,10970
2020,OK,40129,3570
2020,OK,40131,93155
2020,OK,40133,24248
2020,OK,40135,41538
2020,OK,40137,43100
2020,OK,40139,19997
2020,OK,40141,7229
2020,OK,40143,657589
2020,OK,40145,82925
2020,OK,40147,52222
2020,OK,40149,10830
2020,OK,40151,8687
2020,OK,40153,19812
2021,OK,40001,19414
2021,OK,40003,5710
2021,OK,40005,14324
2021,OK,40007,4980
2021,OK,40009,22046
2021,OK,40011,8562
2021,OK,40013,47105
2021,OK,40015,26368
2021,OK,40017,161737
2021,OK,40019,48291
2021,OK,40021,47627
2021,OK,40023,14307
2021,OK,40025,2248
2021,OK,40027,297597
2021,OK,40029,5276
2021,OK,40031,122063
2021,OK,40033,5480
2021,OK,40035,14115
2021,OK,40037,72029
2021,OK,40039,28163
2021,OK,40041,41000
2021,OK,40043,4417
2021,OK,40045,3762
2021,OK,40047,61926
2021,OK,40049,25804
2021,OK,40051,55508
2021,OK,40053,4131
2021,OK,40055,5487
2021,OK,40057,2418
2021,OK,40059,3180
2021,OK,40061,11602
2021,OK,40063,13405
2021,OK,40065,24777
2021,OK,40067,5438
2021,OK,40069,10301
2021,OK,40071,43732
2021,OK,40073,15204
2021,OK,40075,8410
2021,OK,40077,9427
2021,OK,40079,48476
2021,OK,40081,33829
2021,OK,40083,50885
2021,OK,40085,10216
2021,OK,40087,43516
2021,OK,40089,30884
2021,OK,40091,19245
2021,OK,40093,7668
2021,OK,40095,15594
2021,OK,40097,39159
2021,OK,40099,13718
2021,OK,40101,66146
2021,OK,40103,10933
2021,OK,40105,9303
2021,OK,40107,11197
2021,OK,40109,798575
2021,OK,40111,36843
2021,OK,40113,45772
2021,OK,40115,30340
2021,OK,40117,15741
2021,OK,40119,81989
2021,OK,40121,43633
2021,OK,40123,38163
2021,OK,40125,73019
2021,OK,40127,10815
2021,OK,40129,3386
2021,OK,40131,96695
2021,OK,40133,23567
2021,OK,40135,39508
2021,OK,40137,43129
2021,OK,40139,20865
2021,OK,40141,7076
2021,OK,40143,672858
2021,OK,40145,84050
2021,OK,40147,52772
2021,OK,40149,10915
2021,OK,40151,8583
2021,OK,40153,20205
2018,TX,48001,58057
2018,TX,48003,18128
2018,TX,48005,87092
2018,TX,48007,23792
2018,TX,48009,8786
2018,TX,48011,1892
2018,TX,48013,50310
2018,TX,48015,29989
2018,TX,48017,7027
2018,TX,48019,22824
2018,TX,48021,86976
2018,TX,48023,3582
2018,TX,48025,32587
2018,TX,48027,355642
2018,TX,48029,1986049
2018,TX,48031,11702
2018,TX,48033,648
2018,TX,48035,18691
2018,TX,48037,94324
2018,TX,48039,370200
2018,TX,48041,226758
2018,TX,48043,9267
2018,TX,48045,1516
2018,TX,48047,7114
2018,TX,48049,37924
2018,TX,48051,18389
2018,TX,48053,47542
2018,TX,48055,43247
2018,TX,48057,21561
2018,TX,48059,13994
2018,TX,48061,423908
2018,TX,48063,13033
2018,TX,48065,6005
2018,TX,48067,30119
2018,TX,48069,7665
2018,TX,48071,42454
2018,TX,48073,52592
2018,TX,48075,7291
2018,TX,48077,10456
2018,TX,48079,2836
2018,TX,48081,3370
2018,TX,48083,8397
2018,TX,48085,1005146
2018,TX,48087,2962
2018,TX,48089,21217
2018,TX,48091,148373
2018,TX,48093,13534
2018,TX,48095,4276
2018,TX,48097,40574
2018,TX,48099,74808
2018,TX,48101,1389
2018,TX,48103,4794
2018,TX,48105,3499
2018,TX,48107,5779
2018,TX,48109,2204
2018,TX,48111,7200
2018,TX,48113,2637772
2018,TX,48115,12619
2018,TX,48117,18760
2018,TX,48119,5349
2018,TX,48121,859064
2018,TX,48123,20187
2018,TX,48125,2249
2018,TX,48127,10308
2018,TX,48129,3319
2018,TX,48131,11212
2018,TX,48133,18322
2018,TX,48135,162124
2018,TX,48137,1928
2018,TX,48139,179436
2018,TX,48141,840758
2018,TX,48143,42446
2018,TX,48145,17335
2018,TX,48147,35286
2018,TX,48149,25349
2018,TX,48151,3839
2018,TX,48153,5837
2018,TX,48155,1200
2018,TX,48157,787858
2018,TX,48159,10766
2018,TX,48161,19808
2018,TX,48163,19816
2018,TX,48165,20901
2018,TX,48167,337890
2018,TX,48169,6578
2018,TX,48171,26804
2018,TX,48173,1388
2018,TX,48175,7584
2018,TX,48177,20826
2018,TX,48179,21895
2018,TX,48181,133991
2018,TX,48183,123707
2018,TX,48185,28360
2018,TX,48187,163694
2018,TX,48189,33830
2018,TX,48191,3028
2018,TX,48193,8484
2018,TX,48195,5463
2018,TX,48197,3922
2018,TX,48199,57207
2018,TX,48201,4698619
2018,TX,48203,66726
2018,TX,48205,5619
2018,TX,48207,5813
2018,TX,48209,222631
2018,TX,48211,3825
2018,TX,48213,82299
2018,TX,48215,865939
2018,TX,48217,36354
2018,TX,48219,22980
2018,TX,48221,60537
2018,TX,48223,36810
2018,TX,48225,23169
2018,TX,48227,36459
2018,TX,48229,4795
2018,TX,48231,96493
2018,TX,48233,21198
2018,TX,48235,1522
2018,TX,48237,8843
2018,TX,48239,14874
2018,TX,48241,35872
2018,TX,48243,2252
2018,TX,48245,255001
2018,TX,48247,5248
2018,TX,48249,40822
2018,TX,48251,171361
2018,TX,48253,19817
2018,TX,48255,15650
2018,TX,48257,128622
2018,TX,48259,45641
2018,TX,48261,442
2018,TX,48263,726
2018,TX,48265,52405
2018,TX,48267,4362
2018,TX,48269,277
2018,TX,48271,3767
2018,TX,48273,31129
2018,TX,48275,3653
2018,TX,48277,49728
2018,TX,48279,13158
2018,TX,48281,21229
2018,TX,48283,7531
2018,TX,48285,20110
2018,TX,48287,17144
2018,TX,48289,17270
2018,TX,48291,86323
2018,TX,48293,23519
2018,TX,48295,3355
2018,TX,48297,12166
2018,TX,48299,21646
2018,TX,48301,152
2018,TX,48303,307412
2018,TX,48305,5877
2018,TX,48307,7987
2018,TX,48309,254607
2018,TX,48311,749
2018,TX,48313,14422
2018,TX,48315,9928
2018,TX,48317,5753
2018,TX,48319,4280
2018,TX,48321,36552
2018,TX,48323,58485
2018,TX,48325,50921
2018,TX,48327,2139
2018,TX,48329,172578
2018,TX,48331,25131
2018,TX,48333,4921
2018,TX,48335,8145
2018,TX,48337,19596
2018,TX,48339,590925
2018,TX,48341,21485
2018,TX,48343,12339
2018,TX,48345,1234
2018,TX,48347,65711
2018,TX,48349,49565
2018,TX,48351,13746
2018,TX,48353,14751
2018,TX,48355,362265
2018,TX,48357,9947
2018,TX,48359,2131
2018,TX,48361,83572
2018,TX,48363,28875
2018,TX,48365,23148
2018,TX,48367,138371
2018,TX,48369,9864
2018,TX,48371,15673
2018,TX,48373,50031
2018,TX,48375,119648
2018,TX,48377,6948
2018,TX,48379,12159
2018,TX,48381,136271
2018,TX,48383,3741
2018,TX,48385,3478
2018,TX,48387,12175
2018,TX,48389,15695
2018,TX,48391,7032
2018,TX,48393,903
2018,TX,48395,17284
2018,TX,48397,100657
2018,TX,48399,10234
2018,TX,48401,54450
2018,TX,48403,10589
2018,TX,48405,8232
2018,TX,48407,28719
2018,TX,48409,66893
2018,TX,48411,6054
2018,TX,48413,2895
2018,TX,48415,16866
2018,TX,48417,3253
2018,TX,48419,25418
2018,TX,48421,3079
2018,TX,48423,230221
2018,TX,48425,9016
2018,TX,48427,64525
2018,TX,48429,9433
2018,TX,48431,1311
2018,TX,48433,1362
2018,TX,48435,3758
2018,TX,48437,7462
2018,TX,48439,2084931
2018,TX,48441,137640
2018,TX,48443,823
2018,TX,48445,12287
2018,TX,48447,1515
2018,TX,48449,33033
2018,TX,48451,118189
2018,TX,48453,1248743
2018,TX,48455,14740
2018,TX,48457,21696
2018,TX,48459,41260
2018,TX,48461,3671
2018,TX,48463,26846
2018,TX,48465,49208
2018,TX,48467,56019
2018,TX,48469,92035
2018,TX,48471,72480
2018,TX,48473,53126
2018,TX,48475,11720
2018,TX,48477,35108
2018,TX,48479,275910
2018,TX,48481,41619
2018,TX,48483,5191
2018,TX,48485,132064
2018,TX,48487,12820
2018,TX,48489,21515
2018,TX,48491,566719
2018,TX,48493,50224
2018,TX,48495,7720
2018,TX,48497,68305
2018,TX,48499,45129
2018,TX,48501,8591
2018,TX,48503,18045
2018,TX,48505,14190
2018,TX,48507,11983
2019,TX,48001,57735
2019,TX,48003,18705
2019,TX,48005,86715
2019,TX,48007,23510
2019,TX,48009,8553
2019,TX,48011,1887
2019,TX,48013,51153
2019,TX,48015,30032
2019,TX,48017,7000
2019,TX,48019,23112
2019,TX,48021,88723
2019,TX,48023,3509
2019,TX,48025,32565
2019,TX,48027,362924
2019,TX,48029,2003554
2019,TX,48031,11931
2019,TX,48033,654
2019,TX,48035,18685
2019,TX,48037,93245
2019,TX,48039,374264
2019,TX,48041,229211
2019,TX,48043,9203
2019,TX,48045,1546
2019,TX,48047,7093
2019,TX,48049,37864
2019,TX,48051,18443
2019,TX,48053,48155
2019,TX,48055,43664
2019,TX,48057,21290
2019,TX,48059,13943
2019,TX,48061,423163
2019,TX,48063,13094
2019,TX,48065,5926
2019,TX,48067,30026
2019,TX,48069,7530
2019,TX,48071,43837
2019,TX,48073,52646
2019,TX,48075,7306
2019,TX,48077,10471
2019,TX,48079,2853
2019,TX,48081,3387
2019,TX,48083,8175
2019,TX,48085,1034730
2019,TX,48087,2920
2019,TX,48089,21493
2019,TX,48091,156209
2019,TX,48093,13635
2019,TX,48095,2726
2019,TX,48097,41257
2019,TX,48099,75951
2019,TX,48101,1398
2019,TX,48103,4797
2019,TX,48105,3464
2019,TX,48107,5737
2019,TX,48109,2171
2019,TX,48111,7287
2019,TX,48113,2635516
2019,TX,48115,12728
2019,TX,48117,18546
2019,TX,48119,5331
2019,TX,48121,887207
2019,TX,48123,20160
2019,TX,48125,2211
2019,TX,48127,10124
2019,TX,48129,3278
2019,TX,48131,11157
2019,TX,48133,18360
2019,TX,48135,166223
2019,TX,48137,1932
2019,TX,48139,184826
2019,TX,48141,839238
2019,TX,48143,42698
2019,TX,48145,17297
2019,TX,48147,35514
2019,TX,48149,25346
2019,TX,48151,3830
2019,TX,48153,5712
2019,TX,48155,1155
2019,TX,48157,811688
2019,TX,48159,10725
2019,TX,48161,19717
2019,TX,48163,20306
2019,TX,48165,21492
2019,TX,48167,342139
2019,TX,48169,6229
2019,TX,48171,26988
2019,TX,48173,1409
2019,TX,48175,7658
2019,TX,48177,20837
2019,TX,48179,21886
2019,TX,48181,136212
2019,TX,48183,123945
2019,TX,48185,28880
2019,TX,48187,166847
2019,TX,48189,33406
2019,TX,48191,2964
2019,TX,48193,8461
2019,TX,48195,5399
